OrderNo,EarnPoints,CardLevel,MemberCSN
200102230500023,22,Diamond,328886
200102230500024,13,Diamond,328886
200102230500025,10,Diamond,328886
200102230500026,1,Diamond,328886
200102230600004,22,Diamond,328886
200102230600005,13,Diamond,328886
200102230600006,16,Diamond,328886
200102230600007,16,Diamond,328886
200102230600008,10,Diamond,328886
200102230600009,21,Diamond,328886
200102230600011,18,Diamond,328886
200102230600012,18,Diamond,328886
200103230600007,18,Diamond,328886
200103230600008,2,Diamond,328886
200103230600010,18,Diamond,328886
200103230600011,18,Diamond,328886
200103230600012,18,Diamond,328886
200103230600014,24,Diamond,328886
200103230600015,24,Diamond,328886
200103230600016,24,Diamond,328886
200103230600017,24,Diamond,328886
200103230600018,24,Diamond,328886
200103230600019,20,Diamond,329305
200103230600036,35,Diamond,328886
200103230600037,35,Diamond,328886
200103230600044,21,Diamond,328886
200103230600047,7,Diamond,328886
200103230600078,27,Diamond,328886
200103230600131,9,Diamond,328886
200103230600132,9,Diamond,328886
200103230800010,,Diamond,328886
200103230800011,12,Diamond,328886
200103230800012,5,Diamond,328886
200103230800013,1,Diamond,328886
200103230800023,2335,Member,641378
200103230800024,,Diamond,641378
200103230800025,6,Diamond,328886
200103230800026,6,Diamond,328886
200103230800027,6,Diamond,328886
200103230800028,6,Diamond,328886
200103230800029,10,Diamond,328886
200103230800032,7,Diamond,328886
200103230800036,9,Diamond,328886
200103230800037,9,Diamond,328886
200103230800038,5,Diamond,328886
200103230800039,9,Diamond,328886
200103230800042,10,Diamond,328886
200103230800044,10,Diamond,328886
200103230800045,10,Diamond,328886
200103230800047,9,Diamond,328886
200103230800048,9,Diamond,328886
200103230800050,9,Diamond,328886
200103230800051,9,Diamond,328886
200103230800055,9,Diamond,328886
200107230100005,6,,328857
200107230200120,20,Diamond,328886
200107230200126,1022,Diamond,328886
200107230500025,179,Diamond,328886
200107230500028,3,Diamond,328886
200107230500029,19,Diamond,328886
200107230600001,24,Diamond,328886
200107230600004,24,Diamond,328886
200107230600005,24,Diamond,328886
200107230600006,24,Diamond,328886
200107230600007,10,Diamond,329305
200107230600008,20,Diamond,329305
200107230600014,98,Diamond,328886
200107230600019,28,Diamond,328886
200107231100074,1500,Silver,550022220
200107231100075,1934,Silver,550022220
200107231100076,1934,Silver,550022220
200107231100077,589,Silver,550022220
200107231100078,589,Silver,550022220
200107231100081,785,Gold,550992222
200107231100082,785,Gold,550992222
200107231100083,196,Gold,550992222
200107231100084,196,Gold,550992222
200107231100085,1689,Gold,550992222
200107231100086,1689,Gold,550992222
200107231100091,76091,Silver,550022220
200107231100092,2741,Gold,550992222
200107231100093,2741,Gold,550992222
200107231100094,8758,Bronze,938112233
200107231100095,24564.999999999996,Bronze,938112233
200107231100106,1669,Gold,550992222
200107231100107,1669,Gold,550992222
200107231100109,24564.999999999996,Bronze,938112233
200107231100111,441,Gold,550992222
200107231100112,441,Gold,550992222
200107231100113,294,Gold,550992222
200107231100114,294,Gold,550992222
200107231100115,4036,Bronze,M000000000000144
200107231100116,441,Gold,550992222
200107231100117,589,Gold,550992222
200108231100003,6363,Bronze,909090908
200108231100004,80765.00000000003,Bronze,909090908
200108231100005,80765.00000000003,Bronze,909090908
200110230900001,,,329504
200110230900003,16,Diamond,328886
200110230900004,,,329504
200110230900006,21,Diamond,641377
200110230900008,27,Diamond,641377
200110230900010,21,Diamond,641377
200110230900011,,MWIN,329504
200110230900016,,MWIN,329504
200110230900017,,MWIN,329504
200110230900018,,MWIN,329504
200110230900034,7,Diamond,641377
200110230900035,4,Diamond,641377
200110230900043,,MWIN,329504
200110230900044,,MWIN,329504
200110230900045,,MWIN,329504
200110230900049,,MWIN,329504
200110230900050,,MWIN,329504
200110230900051,16,Diamond,641377
200110230900052,16,Diamond,641377
200110230900053,,MWIN,329504
200110230900056,,MWIN,329504
200110230900057,,MWIN,329504
200110230900058,,MWIN,329504
200110230900062,5,Member,641545
200110230900063,11,Member,641531
200110230900065,56,Member,641630
200110230900066,5,Member,641544
200110230900067,10,Member,641700
200110230900068,15,Member,641545
200110230900070,19,Member,641531
200110230900071,11,Member,641531
200110230900072,27,Member,641531
200110231100003,1650,Bronze,977999004
200110231100004,54450,Bronze,977999009
200110231100006,2870,Gold,371779001
200110231100007,990,Gold,987710855
200110231100009,8490,Gold,987710855
200110231100011,8490,Gold,987710855
200113230100001,13,Diamond,328913
200119230300015,37,Diamond,
200154230600178,23,Diamond,328886
200154230700039,1,Diamond,328886
200154230700040,2,Diamond,328886
200154230700041,,Diamond,328886
200154230700046,5,Diamond,328886
200154230700048,17,Diamond,328886
200154230700049,,Diamond,328886
200154230700050,,Diamond,328886
200154230700052,,Diamond,328886
200154230700058,999,Diamond,328886
200154230700059,30,Diamond,328886
200154230700061,10,Diamond,328886
200154230700062,,Diamond,328886
200154230700063,,Diamond,328886
200154230700064,,Diamond,328886
200154230700065,,Diamond,328886
200154230700066,,Diamond,328886
200154230700067,,Diamond,328886
200154230700072,,Diamond,328886
200154230700073,,Diamond,328886
200154230700075,,Diamond,328886
200154230700078,9101,Diamond,328886
200154230700079,1998,Diamond,328886
200154230700080,,Diamond,328886
200154230700081,,Diamond,328886
200154230700082,,Diamond,328886
200154230700083,,Diamond,328886
200154230700084,,Diamond,328886
200154230700086,,Diamond,328886
200154230700088,,Diamond,328886
200154230700089,,Diamond,328886
200154230700090,,Diamond,328886
200154230700091,9,Diamond,328886
200154230700092,10,Diamond,328886
200154230700093,88,Diamond,328886
200154230800059,35,Diamond,328886
200154230800061,31,Diamond,328886
200154230800062,30,Diamond,328886
200154230800063,4,Diamond,328886
200154230800064,3,Diamond,328886
200154230800065,4,Diamond,328886
200154230800066,5,Diamond,328886
200154230800067,1,Diamond,328886
200154230800068,3,Diamond,328886
200154230800070,5,Diamond,328886
200154230800071,5,Diamond,328886
200154230800072,6,Diamond,328886
200154230800074,6,Diamond,328886
200154230800075,7,Diamond,328886
200154230800076,9895,Member,641377
200154230800077,7,Diamond,641377
200154230800078,7,Diamond,641377
200154230800080,14,Diamond,328886
200154230800081,13,Diamond,328886
200154230800082,5,Diamond,328886
200154230800083,5,Diamond,328886
200154230800084,3,Diamond,328886
200154230800085,3,Diamond,328886
200154230800086,10,Diamond,328886
200154230800087,10,Diamond,328886
200154230800088,5,Diamond,641377
200154230800096,21,Diamond,641378
200154230800098,128,Diamond,328886
200154230800099,6,Vip,329305
200188230600007,37,Diamond,329001
200188230600008,24,Diamond,329001
200188230600010,22,Vip,635039
200188230600015,23,Member,641269
200188230700005,9,Member,641277
200188230700006,19,Vip,641278
200188230800006,35,Member,
200188230900003,,,640671
200188230900004,,,640671
200188230900006,,MWIN,640671
200188230900007,,MWIN,640671
200188230900009,,MWIN,640671
200188230900010,,MWIN,640671
200188230900012,,MWIN,640671
200188230900013,,Vip,635039
200188230900014,,MWIN,640671
200188230900016,,MWIN,640671
200188230900018,9,Member,641283
200188230900019,12,Member,641283
200188230900020,7,Member,641545
200188230900021,7,Member,641623
200188230900023,3,Member,641650
200188230900024,6,Member,641654
200188230900025,7,Member,641711
200188231000006,18,Member,641623
200188231100001,4732,Bronze,909123454
200188231100002,3578,Gold,559900185
